track_id,lyrics
2,"Welcome to McRob you like to drive value mail we got a special on still  Plus an eyepiece deal that comes with a coat, banana clip, bloat  Spill off Broadway and Park place the scope Move it around till you spit like me  Fine wine refinery, all those everywhere like green giant peas  That's number one, wrap it up to go Pop Toast, keep the flame on low  Pop Bros got me rolling dope With five stars like the chef on cream  Cool whips, hit Big Mac machines, tips for fish"
5,"It got me so, it got me so, I don't know what I'm doing  My crew's like Big Floyd, track up a 10, us and them  You start with me and they jump in, and won't even care if the UN says no  Play American like I thought he had a weapon though, and phasing all blocks and shoveling snow  All year round, Ringlin' brothers, clowns and others  Word to your mother, I'm ice ice, vanilla giant bedstiles, the real life  Andrew Dice Clay, Newport's take me away"
141,With a ruminating sound  I reach for you and remember that  You're at least a thousand miles from here  The big head of steel  In old Milwaukee field  I never cared for you or I  I should have requested you
190,That brightens the day  Fill up your room in the Milky Way  Bridges cross the burning lake  A butterfly and a moon  Set in the twilight
194,I walk around New Haven looking at the cars that drive around New Haven looking for a  place to park.  And all I want to do is get close to you.  And all I want to do is get close to you.
197,"[""The Star-Spangled Banner""]  [""The Star-Spangled Banner""]"
200,"I'd like to shout it  Maybe I'm running away from here  Maybe I'm dreaming or maybe I really care  Maybe this song is like some movie  I've seen it before  But baby, I'd like to see you at my door  Maybe I'm dreaming or maybe I really care"
204,Summer ended  And the weatherman in the afternoon murdered the dream  And the sound of the shot stopped the world at one o'clock  And the mothers of September buried the dream  And
207,"[""The Star-Spangled Banner""]  [""The Star-Spangled Banner""]"
210,"So come and walk to school with me And when I hold you, we'll be free  In America, America, America  La-be-de-be-de, be-de-be-de, be-de-de, be-de-de"
211,"I'll be with you when I, when I arrive.  All my life I have searched  for the child and for the child."
212,"To be with you when I, when I arrive.  All my life I have searched  For the child and for the child."
213,"And your trust, it stands in such trust,  And mighty was he."
256,"There's nothing about it  Yeah, you better learn how to  understand the pain of it  Yeah, you've been killed by the blasts  God, you're so bloody  Can't make believe  You're so damn  Damned  Damned  Yeah"
368,Vampire rest.  They're out there.  And I believe the government knows.  And it's got its own vampire committee.  And they're looking into vampires.  But they know all about the threat.  They're just keeping it quiet.  They're just panicking.
540,"[""The Bird That Flied So Free""]  [""The Bird That Flied So Free""]"
